Ax,Ay,Az,Gx,Gy,Gz,Label
-0.033,0.007,1.11,2.29,-1.847,-0.229,Idle
-0.033,0.005,1.115,2.26,-1.71,-0.229,Idle
-0.031,0.005,1.115,2.313,-1.702,-0.435,Idle
-0.028,-0.002,1.106,2.13,-1.397,-0.397,Idle
-0.033,0.006,1.117,2.42,-1.45,-0.573,Idle
-0.033,0.002,1.114,2.298,-1.458,-0.183,Idle
-0.029,0.003,1.115,2.221,-1.389,-0.443,Idle
-0.032,0,1.116,2.534,-1.687,-0.374,Idle
-0.028,0.002,1.113,2.427,-1.779,-0.443,Idle
-0.03,0.002,1.118,2.565,-1.695,-0.336,Idle
-0.031,0,1.11,2.603,-1.794,-0.473,Idle
-0.033,0.005,1.117,2.344,-1.542,-0.382,Idle
-0.032,0.001,1.112,2.496,-1.557,-0.473,Idle
-0.031,0.001,1.109,2.344,-1.466,-0.214,Idle
-0.029,0.004,1.114,2.099,-1.634,-0.443,Idle
-0.026,0.001,1.109,2.382,-1.443,-0.099,Idle
-0.031,0.002,1.115,2.405,-1.695,-0.405,Idle
-0.033,0.004,1.109,2.641,-1.595,-0.244,Idle
-0.029,0.004,1.115,2.382,-1.58,-0.328,Idle
-0.028,-0.001,1.109,2.573,-1.573,-0.397,Idle
-0.031,0.001,1.111,2.542,-1.817,-0.252,Idle
-0.03,0.003,1.111,2.282,-1.481,-0.382,Idle
-0.035,0,1.114,2.115,-1.565,-0.374,Idle
-0.035,0.003,1.114,2.557,-1.634,-0.321,Idle
-0.034,0.002,1.118,2.435,-1.626,-0.237,Idle
-0.035,0,1.112,2.328,-1.656,-0.313,Idle
-0.027,0.005,1.111,2.313,-1.74,-0.229,Idle
-0.031,0.002,1.111,2.427,-1.664,-0.344,Idle
-0.03,0.004,1.115,2.29,-1.603,-0.298,Idle
-0.034,-0.001,1.115,2.481,-1.573,-0.374,Idle
-0.027,0.003,1.111,2.382,-1.779,-0.511,Idle
-0.036,0.002,1.109,2.405,-1.466,-0.489,Idle
-0.031,0.002,1.113,2.366,-1.901,-0.366,Idle
-0.033,0.003,1.113,2.489,-1.641,-0.42,Idle
-0.024,0,1.104,2.275,-1.42,-0.214,Idle
-0.029,0,1.106,2.458,-1.534,-0.282,Idle
-0.03,0.003,1.12,2.275,-1.634,-0.168,Idle
-0.029,0.002,1.115,2.305,-1.435,-0.496,Idle
-0.033,-0.002,1.112,2.443,-1.908,-0.672,Idle
-0.028,0.002,1.112,2.42,-1.603,-0.435,Idle
-0.032,0.003,1.11,2.305,-1.588,-0.267,Idle
-0.032,0,1.108,2.282,-1.626,-0.458,Idle
-0.031,0.005,1.11,2.435,-1.664,-0.45,Idle
-0.028,0.005,1.111,2.473,-1.618,-0.397,Idle
-0.029,0.004,1.11,2.435,-1.733,-0.481,Idle
-0.033,0,1.111,2.427,-1.771,-0.183,Idle
-0.031,0,1.115,2.557,-1.618,-0.198,Idle
-0.031,0.003,1.114,2.382,-1.458,-0.351,Idle
-0.032,0.003,1.114,2.542,-1.527,-0.26,Idle
-0.034,0.001,1.113,2.389,-1.435,-0.359,Idle
-0.029,-0.001,1.116,2.542,-1.695,-0.275,Idle
-0.036,0.002,1.116,2.328,-1.832,-0.496,Idle
-0.036,0.004,1.121,2.42,-1.863,-0.504,Idle
-0.033,0.005,1.113,2.336,-1.771,-0.412,Idle
-0.036,0.004,1.117,2.405,-1.595,-0.397,Idle
-0.027,-0.001,1.11,2.588,-1.511,-0.29,Idle
-0.031,0.002,1.111,2.466,-1.473,-0.481,Idle
-0.034,0.002,1.112,2.267,-1.664,-0.504,Idle
-0.032,0.003,1.106,2.389,-1.321,-0.092,Idle
-0.034,0.002,1.103,2.214,-1.878,-0.275,Idle
-0.027,-0.004,1.114,2.389,-1.672,-0.519,Idle
-0.032,0.004,1.115,2.611,-2.023,-0.298,Idle
-0.033,0.003,1.113,2.107,-1.832,-0.435,Idle
-0.029,0.002,1.115,2.305,-1.618,-0.252,Idle
-0.031,-0.003,1.109,2.351,-1.679,-0.397,Idle
-0.03,-0.001,1.105,2.366,-1.519,-0.496,Idle
-0.029,0.002,1.105,2.672,-1.611,-0.176,Idle
-0.035,0,1.105,2.405,-1.565,-0.588,Idle
-0.034,0.004,1.122,2.42,-1.473,-0.405,Idle
-0.034,0.003,1.115,2.374,-1.595,-0.359,Idle
-0.028,-0.001,1.109,2.344,-1.672,-0.359,Idle
-0.033,0.003,1.11,2.26,-1.664,-0.344,Idle
-0.029,0.002,1.114,2.344,-1.802,-0.443,Idle
-0.03,0.007,1.111,2.435,-1.595,-0.389,Idle
-0.029,0.006,1.109,2.298,-1.534,-0.481,Idle
-0.03,0.006,1.112,2.344,-1.695,-0.275,Idle
-0.029,0.002,1.117,2.267,-1.664,-0.305,Idle
-0.032,0,1.115,2.344,-1.672,-0.504,Idle
-0.03,0.003,1.116,2.496,-1.656,-0.206,Idle
