Ax,Ay,Az,Gx,Gy,Gz,Label
0.410,0.094,0.328,51.237,11.725,41.038,Idle
0.800,0.094,0.328,100.092,11.725,41.038,Idle
1.191,0.094,0.328,148.947,11.725,41.038,Idle
1.582,0.094,0.328,197.802,11.725,41.038,Idle
1.972,0.094,0.328,246.656,11.725,41.038,Idle
-1.637,0.094,0.328,-204.763,11.725,41.038,Idle
-1.247,0.094,0.328,-155.908,11.725,41.038,Idle
-0.856,0.094,0.328,-107.053,11.725,41.038,Idle
-0.465,0.094,0.328,-58.198,11.725,41.038,Idle
-0.075,0.094,0.328,-9.344,11.725,41.038,Idle
0.316,0.094,0.328,39.519,11.725,41.038,Idle
0.707,0.094,0.328,88.374,11.725,41.038,Idle
1.097,0.094,0.328,137.229,11.725,41.038,Idle
1.488,0.094,0.328,186.084,11.725,41.038,Idle
1.878,0.094,0.328,234.939,11.725,41.038,Idle
-1.731,0.094,0.328,-216.481,11.725,41.038,Idle
-1.340,0.094,0.328,-167.626,11.725,41.038,Idle
-0.950,0.094,0.328,-118.771,11.725,41.038,Idle
-0.559,0.094,0.328,-69.916,11.725,41.038,Idle
-0.168,0.094,0.328,-21.061,11.725,41.038,Idle
0.222,0.094,0.328,27.802,11.725,41.038,Idle
0.613,0.094,0.328,76.656,11.725,41.038,Idle
1.004,0.094,0.328,125.511,11.725,41.038,Idle
1.394,0.094,0.328,174.366,11.725,41.038,Idle
1.785,0.094,0.328,223.221,11.725,41.038,Idle
-1.825,0.094,0.328,-228.198,11.725,41.038,Idle
-1.434,0.094,0.328,-179.344,11.725,41.038,Idle
-1.043,0.094,0.328,-130.489,11.725,41.038,Idle
-0.653,0.094,0.328,-81.634,11.725,41.038,Idle
-0.262,0.094,0.328,-32.779,11.725,41.038,Idle
0.129,0.094,0.328,16.084,11.725,41.038,Idle
0.519,0.094,0.328,64.939,11.725,41.038,Idle
0.910,0.094,0.328,113.794,11.725,41.038,Idle
1.300,0.094,0.328,162.649,11.725,41.038,Idle
1.691,0.094,0.328,211.504,11.725,41.038,Idle
-1.918,0.094,0.328,-239.916,11.725,41.038,Idle
-1.528,0.094,0.328,-191.061,11.725,41.038,Idle
-1.137,0.094,0.328,-142.206,11.725,41.038,Idle
-0.746,0.094,0.328,-93.351,11.725,41.038,Idle
-0.356,0.094,0.328,-44.496,11.725,41.038,Idle
0.035,0.094,0.328,4.366,11.725,41.038,Idle
0.410,0.094,0.328,51.267,11.725,41.038,Idle
0.801,0.094,0.328,100.122,11.725,41.038,Idle
1.191,0.094,0.328,148.977,11.725,41.038,Idle
1.582,0.094,0.328,197.832,11.725,41.038,Idle
1.972,0.094,0.328,246.687,11.725,41.038,Idle
-1.637,0.094,0.328,-204.733,11.725,41.038,Idle
-1.246,0.094,0.328,-155.878,11.725,41.038,Idle
-0.856,0.094,0.328,-107.023,11.725,41.038,Idle
-0.465,0.094,0.328,-58.168,11.725,41.038,Idle
-0.074,0.094,0.328,-9.313,11.725,41.038,Idle
0.316,0.094,0.328,39.550,11.725,41.038,Idle
0.707,0.094,0.328,88.405,11.725,41.038,Idle
1.097,0.094,0.328,137.260,11.725,41.038,Idle
1.488,0.094,0.328,186.115,11.725,41.038,Idle
1.879,0.094,0.328,234.969,11.725,41.038,Idle
-1.731,0.094,0.328,-216.450,11.725,41.038,Idle
-1.340,0.094,0.328,-167.595,11.725,41.038,Idle
-0.949,0.094,0.328,-118.740,11.725,41.038,Idle
-0.559,0.094,0.328,-69.885,11.725,41.038,Idle
-0.168,0.094,0.328,-21.031,11.725,41.038,Idle
0.223,0.094,0.328,27.832,11.725,41.038,Idle
0.613,0.094,0.328,76.687,11.725,41.038,Idle
1.004,0.094,0.328,125.542,11.725,41.038,Idle
1.394,0.094,0.328,174.397,11.725,41.038,Idle
1.785,0.094,0.328,223.252,11.725,41.038,Idle
-1.824,0.094,0.328,-228.168,11.725,41.038,Idle
-1.434,0.094,0.328,-179.313,11.725,41.038,Idle
-1.043,0.094,0.328,-130.458,11.725,41.038,Idle
-0.652,0.094,0.328,-81.603,11.725,41.038,Idle
-0.262,0.094,0.328,-32.748,11.725,41.038,Idle
0.129,0.094,0.328,16.115,11.725,41.038,Idle
0.519,0.094,0.328,64.969,11.725,41.038,Idle
0.910,0.094,0.328,113.824,11.725,41.038,Idle
1.301,0.094,0.328,162.679,11.725,41.038,Idle
1.691,0.094,0.328,211.534,11.725,41.038,Idle
-1.918,0.094,0.328,-239.885,11.725,41.038,Idle
-1.527,0.094,0.328,-191.031,11.725,41.038,Idle
-1.137,0.094,0.328,-142.176,11.725,41.038,Idle
-0.746,0.094,0.328,-93.321,11.725,41.038,Idle
-0.356,0.094,0.328,-44.466,11.725,41.038,Idle
0.035,0.094,0.328,4.397,11.725,41.038,Idle
0.410,0.094,0.328,51.298,11.725,41.038,Idle
0.801,0.094,0.328,100.153,11.725,41.038,Idle
1.191,0.094,0.328,149.008,11.725,41.038,Idle
1.582,0.094,0.328,197.863,11.725,41.038,Idle
1.973,0.094,0.328,246.718,11.725,41.038,Idle
-1.637,0.094,0.328,-204.702,11.725,41.038,Idle
-1.246,0.094,0.328,-155.847,11.725,41.038,Idle
-0.855,0.094,0.328,-106.992,11.725,41.038,Idle
-0.465,0.094,0.328,-58.137,11.725,41.038,Idle
-0.074,0.094,0.328,-9.282,11.725,41.038,Idle
0.316,0.094,0.328,39.580,11.725,41.038,Idle
0.707,0.094,0.328,88.435,11.725,41.038,Idle
1.098,0.094,0.328,137.290,11.725,41.038,Idle
1.488,0.094,0.328,186.145,11.725,41.038,Idle
1.879,0.094,0.328,235.000,11.725,41.038,Idle
-1.730,0.094,0.328,-216.420,11.725,41.038,Idle
-1.340,0.094,0.328,-167.565,11.725,41.038,Idle
-0.949,0.094,0.328,-118.710,11.725,41.038,Idle
-0.559,0.094,0.328,-69.855,11.725,41.038,Idle
-0.168,0.094,0.328,-21.000,11.725,41.038,Idle
0.223,0.094,0.328,27.863,11.725,41.038,Idle
0.613,0.094,0.328,76.718,11.725,41.038,Idle
1.004,0.094,0.328,125.573,11.725,41.038,Idle
1.395,0.094,0.328,174.427,11.725,41.038,Idle
1.785,0.094,0.328,223.282,11.725,41.038,Idle
-1.824,0.094,0.328,-228.137,11.725,41.038,Idle
-1.433,0.094,0.328,-179.282,11.725,41.038,Idle
-1.043,0.094,0.328,-130.427,11.725,41.038,Idle
-0.652,0.094,0.328,-81.573,11.725,41.038,Idle
-0.262,0.094,0.328,-32.718,11.725,41.038,Idle
0.129,0.094,0.328,16.145,11.725,41.038,Idle
0.520,0.094,0.328,65.000,11.725,41.038,Idle
0.910,0.094,0.328,113.855,11.725,41.038,Idle
1.301,0.094,0.328,162.710,11.725,41.038,Idle
